Code,Freight tons,Passengers
ATL,175209,32860631
DFW,224466,25576831
DEN,105811,24492693
ORD,219718,22409831
LAX,476217,19654430
LAS,37391,17622776
CLT,62240,16840958
MCO,60412,16803199
SEA,125913,15774082
PHX,130469,15770712
MIA,467184,15570183
JFK,191738,14982488
EWR,237660,14509110
IAH,134096,13557394
SFO,108600,12692210
MSP,73522,11354371
BOS,75576,11319627
FLL,36716,10974784
LGA,2278,10200481
DTW,57211,10120654
SLC,72133,9300989
PHL,211372,9002652
DCA,515,8399821
BWI,101246,8135919
SAN,48228,8050720
TPA,82161,7690488
AUS,51374,7480808
BNA,31459,7018926
MDW,8176,6922705
HNL,207687,6060484
IAD,49436,6039250
DAL,5640,5676901
PDX,114608,5241098
STL,36598,4931626
HOU,4834,4758817
SMF,43740,4352715
MSY,21908,4292852
RDU,34923,4207290
RSW,5957,4043460
SNA,9028,3990922
SJC,15223,3985311
OAK,224713,3900076
SJU,48510,3626732
MCI,49065,3513095
SAT,45552,3249394
CLE,31248,3151872
IND,456253,3101583
OGG,8964,2942392
PIT,32489,2853482
CVG,538272,2715019
CMH,1584,2657435
PBI,8752,2406046
JAX,29897,2327273
BUR,16428,2185318
BDL,57993,2081565
ONT,340857,2022035
MKE,25964,1996230
CHS,2170,1937672
ANC,1237819,1905268
ABQ,21802,1681270
BOI,18548,1631883
OMA,24486,1626816
MEM,1647746,1585187
RNO,31268,1579772
ORF,8857,1552334
BUF,14602,1526208
RIC,21915,1486139
KOA,15854,1485964
GEG,23881,1417403
OKC,10972,1411387
SRQ,38,1409808
SDF,1206840,1406579
ELP,38112,1389989
MYR,325,1374551
LIH,7818,1311988
SAV,2081,1293721
GRR,14797,1279983
TUS,11817,1229717
LGB,6307,1191894
PVD,4432,1167801
TUL,21829,1062429
DSM,13539,1019264
SFB,28,1014854
BHM,6481,974007
PSP,98,970421
ALB,8811,962437
PIE,64,938386
PNS,3205,919714
SYR,18238,911939
BZN,365,897190
TYS,12989,895494
ROC,17912,846724
COS,3574,807045
VPS,0,792172
GSP,16547,782531
PWM,2804,742320
PGD,0,728725
LIT,5544,719622
AZA,0,698224
FAT,4678,694376
AVL,0,671356
MSN,9339,670536
HPN,0,631087
XNA,5,599352
ECP,0,589498
GSO,59087,581276
EUG,191,575687
ICT,10229,560006
STT,129,547410
EYW,113,540609
MHT,29663,481596
ISP,87,478784
MAF,555,466613
MDT,23399,464378
FSD,21669,452118
BTV,1580,449380
CID,16382,448226
ITO,5881,445570
SBA,283,444862
JAN,3026,436456
HSV,13089,432070
LEX,56,428748
DAY,2542,423495
SGF,5783,402564
ILM,569,393735
RDM,221,387335
MFR,644,380112
HRL,10627,380005
CAE,20941,375210
FAI,3382,363898
LBB,15237,358394
ACY,0,357474
FCA,280,346773
FAR,15791,337958
MFE,4008,331864
JAC,34,325639
MSO,325,324772
CHA,4293,323441
ABE,38084,322455
ATW,3113,313638
TLH,3167,293697
PSC,352,288359
BIL,13490,272661
BGR,1468,268983
FWA,9485,266646
TTN,0,262749
AMA,23,262365
JNU,1726,260864
SBN,3114,258953
RAP,243,253001
GPT,208,252810
BQN,12968,249181
ASE,0,244197
BTR,0,241092
IDA,515,240781
HVN,0,240097
BLI,204,239266
FNT,4617,236581
CRP,21,235917
TVC,18,235151
GRB,24,225382
STS,0,225302
ROA,4166,216437
DAB,4,214119
PIA,4966,213295
AGS,0,204600
PAE,1765,204287
SHV,8453,202826
MLI,12,202048
GUM,7232,200763
CAK,41,199069
GNV,13,198267
MOB,1,197241
SBP,184,196676
CHO,1,195231
MTJ,0,188447
BIS,150,181083
EGE,0,177553
LFT,5220,166889
MRY,71,166615
MLB,2,166566
GJT,1234,164292
HDN,41,164061
AVP,0,141387
TRI,1,141047
STX,37,139012
PVU,1,138436
BMI,2404,133429
DRO,121,133179
BLV,0,131187
FAY,0,126470
LCK,25179,120481
CRW,0,120109
EVV,10,116990
MGM,3,114005
AEX,73,112469
OAJ,0,108438
LRD,8751,106991
KTN,711,103686
MOT,147,103253
BFL,230,101911
GTF,7448,101844
LBE,0,101551
GRK,923,100665
SWF,5999,99736
ACK,38,96857
BRO,350,95411
SGU,126,92989
SAF,0,92631
YUM,0,92145
USA,0,91875
ACV,167,91774
DLH,221,91386
HHH,0,90306
RFD,184801,89484
SUN,49,80990
PSE,0,79756
SCE,441,79617
RDD,403,74485
SIT,864,72280
HTS,2557,71949
FLG,127,69063
TOL,6311,66447
MLU,4,65077
GFK,0,64301
LNK,33,64232
RST,3850,64156
CSG,103,63082
ELM,73,62465
HLN,2,62204
LAN,7733,60709
CWA,24,59334
PHF,4,58979
COU,0,58875
LYH,0,57129
SCK,17244,56826
MHK,22,56555
ADQ,509,55880
SPI,0,54662
AZO,1,54315
ORH,0,53913
MBS,0,53760
BET,558,53731
PBG,0,53682
LSE,45,53017
PSM,3501,52768
ABI,146,52433
SCC,2084,52247
CPR,3990,51195
EWN,553,50988
PUW,2,50877
MVY,27,50044
GRI,344,47186
XWA,90,46532
ERI,0,45821
ITH,2,45216
LCH,0,45028
CMI,1,44947
FSM,0,44548
IAG,16,44454
GUC,0,43681
ROW,106,40951
SJT,149,40620
ACT,29,40245
CLL,18,39155
IFP,0,38883
RIV,15618,36680
CKB,7,35194
MQT,97,34841
SBY,203,34701
SPN,27,33613
LWS,137,32636
GTR,0,31226
LAW,69,31052
DHN,47,30828
TYR,0,29983
EAT,114,29962
YKM,318,29868
COD,0,29771
OME,520,29057
VLD,0,28483
ALW,0,27987
BQK,0,27687
TXK,0,27270
ABY,9435,26281
HGR,0,25881
OTZ,2407,23742
PGV,0,23479
GCK,130,22242
BRW,319,22219
FLO,0,22028
SPS,0,21498
BJI,119,21075
PLN,99,21061
BIF,1066,20638
AKN,5033,19798
SWO,14,19554
GGG,0,19554
SUX,0,19068
DRT,454,19053
SHR,0,18873
PSG,528,18556
DLG,1047,18556
EAR,180,18254
GCC,0,17915
BPT,1,17850
CIU,63,17623
PRC,0,17402
NGU,5332,17000
RHI,223,16982
CMX,89,16571
BRD,0,16423
ABR,81,16331
ESC,71,16174
SLN,0,16078
DIK,51,16016
IMT,51,15835
ART,0,15821
JLN,0,15719
DBQ,2,15485
EAU,0,13905
BTM,0,13753
STC,1,13695
CYS,0,13423
OTH,68,13297
HOB,0,13004
CNY,0,12923
CDV,435,12903
LAR,0,12470
UAM,1629,12231
ALO,2,12229
SMX,408,11869
OGD,30,11716
TWF,176,11531
FNL,0,11367
RKS,48,11346
PAH,0,11233
PQI,46,11051
N1C,533,10757
MEI,0,10674
INL,0,10599
PPG,284,10449
APN,140,10341
HIB,0,10187
WRG,303,10163
MKG,13,10152
YAK,677,10133
RIW,0,9931
PIB,0,9632
BIH,15,9349
LBF,47,9298
CDC,76,8934
BFF,77,8787
JMS,0,8773
BGM,0,8718
RDB,277,8509
TCM,93,8370
PIH,133,8347
VEL,0,8342
OWB,0,7892
HYS,0,7814
LWB,0,7800
HYA,0,7631
DQK,116,7511
SHD,0,7431
BED,29,7413
DEC,0,7378
HIK,3877,7342
POB,416,7096
HOP,405,7002
CGI,9,6929
WYS,0,6893
EKO,0,6299
PUB,0,6229
BFI,28992,6191
BKG,0,6174
LBL,0,6002
FOE,81,5939
GST,0,5932
NIP,454,5872
JST,0,5641
DVL,0,5570
TBN,0,5545
MCW,0,5235
VCT,0,5180
DDC,0,4948
ILG,0,4734
FOD,0,4571
OGS,0,4198
ALS,0,4100
MKC,112,4033
VNY,0,3715
SVN,282,3669
SBD,89414,3092
DLF,0,2846
CPS,3,2378
NGF,14,2216
TEB,10,2109
GYY,5141,2012
ADK,17,1952
LSV,213,1840
MCN,0,1835
TCL,1,1649
FRG,0,1548
LAF,4,1524
LUK,0,1508
AFW,167073,1501
ADW,39,1488
NYL,441,1487
GAL,65,1263
BKL,36,1144
SUU,17118,1139
YIP,777,1134
VAD,199,1040
UST,0,1037
LFI,8,1037
VRB,0,1024
WRI,3867,916
TUP,2,869
OPF,1136,866
LSF,0,809
FTW,3,779
AHN,4,759
PAM,58,751
GSB,67,737
EDF,3819,725
KNK,0,722
EIL,638,713
NTD,125,705
INT,0,700
BFM,6419,693
NKX,197,673
BAF,0,628
VCV,0,627
MQY,79,622
MIB,132,616
RDG,2,608
RQZ,73,578
HIF,1666,574
YNG,0,559
DMA,335,522
AKP,7,509
SC1,0,492
MWH,343,466
AWK,167,438
BFT,33,431
UOX,0,427
EAA,3,426
NUW,101,425
MUO,180,422
BMG,2,422
SKF,2483,415
BTI,15,392
SSC,174,378
VQQ,31,369
LGU,0,358
FYV,0,333
MIE,0,314
MWA,18,309
SCF,0,303
MXF,0,299
BAD,114,289
APC,0,288
WRB,17,282
EFD,0,282
RCA,106,276
HSH,0,273
NJK,0,270
RIL,0,262
FOK,0,258
BJC,0,245
DOV,23489,239
NZY,361,233
MCC,41,233
COE,0,227
SZL,103,224
NQX,0,224
NUL,1,212
TIK,459,198
HMN,10,188
LAL,51671,187
PDK,0,185
VWW,0,182
VEE,2,175
IPT,18,174
NUQ,45,168
SUS,13,163
INS,0,158
ARC,1,155
KAL,3,151
HUF,2,151
BFK,31,148
CLU,5,147
BWG,22,146
GRF,0,141
BCT,0,137
CWF,0,135
APA,0,135
APF,0,130
PWK,0,121
LRU,0,118
SKA,26,116
CLD,0,114
FFO,0,108
FYU,35,107
MSL,0,106
VOK,0,104
NCO,0,100
HSL,0,97
RBY,0,94
PKB,0,93
NLC,0,93
CVS,0,93
ATY,0,91
ADS,0,91
ORL,0,89
FBK,1,84
MTC,0,79
BFD,0,79
PIR,29,77
DYS,0,77
TEX,0,73
BAB,0,71
HKY,2,70
PGA,0,69
MMU,0,69
SDM,246,65
C01,0,64
TKF,0,62
UGN,0,61
SQL,0,53
HWD,0,49
OCF,0,44
TAL,0,37
RWI,19,36
NEW,0,36
SSI,0,35
UT1,0,35
LZU,14,33
NUI,8,32
MHR,20223,32
MCF,0,32
LNY,51,31
JZI,0,30
TRM,0,29
FXE,0,29
PTK,15,28
TSS,0,27
WBQ,0,27
XSD,0,26
ID1,0,26
MTH,70,25
PHO,0,25
MNZ,0,25
AUO,0,25
OXC,0,24
TN8,0,23
TMB,0,22
STP,0,22
FPR,0,22
LVK,0,22
MT3,0,22
2NC,0,22
AIN,0,21
KSM,135,21
N4Y,0,21
PRB,6,21
PWA,0,20
JRA,0,20
BLM,0,20
PIZ,13,19
MRK,0,19
FHB,0,19
QMA,0,19
MCG,73,18
CXO,0,18
FMY,0,17
MXE,0,17
TVL,0,17
LCI,0,17
SMO,0,16
TX1,0,16
VA4,0,16
ISM,0,16
SLK,0,16
SGR,0,15
GYR,0,15
MMH,0,15
CDH,0,15
TSM,0,14
SBM,0,14
HIO,0,14
FTY,0,14
ESN,0,14
CEZ,0,14
VDI,0,13
PSF,0,12
MQJ,0,12
LEB,0,12
NJ1,0,12
AVW,0,12
AIK,0,12
SAC,0,11
TTD,0,11
OXR,0,11
OSU,0,11
PNE,0,11
UTO,11,11
DPA,7,11
AGC,0,11
SUA,0,10
MIV,0,10
DET,0,10
AUZ,0,10
ZXU,0,9
MLY,0,9
BHB,0,9
KBC,0,9
RUT,0,8
WKV,0,8
MYF,0,8
RKD,0,8
HBV,0,8
ILI,0,8
HUS,0,8
RME,19,8
TN9,0,8
CTH,0,8
N2C,0,8
GON,0,7
SVH,0,7
GLS,0,7
OVE,0,7
MOU,0,7
RBW,0,7
IN2,0,7
DWH,0,7
MLJ,0,7
FL1,0,7
VNC,0,6
MLL,0,6
HHR,0,6
GUP,29,6
FCM,0,6
EGV,0,6
CEU,0,6
QQT,0,6
VIS,265,5
LOZ,2,5
DVT,0,5
MNT,0,5
MEV,0,5
05A,0,5
UVA,0,5
DSI,0,5
CIK,0,5
UDD,0,5
OUN,0,4
TKI,0,4
MVW,89,4
SHX,2,4
RMP,0,4
EFK,0,4
NPT,0,4
EWB,0,4
MBL,0,4
LWC,0,4
VIK,2,4
JEF,0,4
BDR,0,4
HOM,50,4
GVL,0,4
FDK,0,4
FWS,0,4
CIC,40,4
HQM,0,4
OR4,0,4
LEW,0,4
PA8,0,4
UTM,0,3
TOA,0,3
NIB,22,3
MWL,0,3
ISO,7,3
SIG,0,3
JZQ,0,3
WJF,0,3
CDL,0,3
AND,0,3
AMW,0,3
CEF,0,2
TX6,0,2
XWW,0,2
GED,0,2
DQG,0,2
SME,0,2
BEH,0,2
RTN,0,2
ASH,0,2
GAI,0,2
HOT,0,2
T8X,0,2
LWM,0,2
KYU,0,2
RAC,0,2
IOW,0,2
KS3,0,2
VWD,0,2
NOT,0,2
AZ3,0,2
CCR,0,2
DUG,0,2
FVO,0,2
FL4,0,2
LIY,0,1
TVI,0,1
TIW,0,1
SDX,0,1
PQS,0,1
OLM,0,1
GBH,0,1
HTO,0,1
CGF,0,1
CKD,0,1
VWS,0,1
BTT,4,1
OSC,590,0
QQN,5,0
GGW,5,0
ILN,101592,0
CLM,71,0
WSG,0,0
ZXC,0,0
BTL,7,0
UNK,91,0
UKI,78,0
MI2,3,0
TOG,4,0
TNC,18,0
TVF,1660,0
TLJ,9,0
ASN,0,0
ALN,0,0
SVW,6,0
SYA,132,0
SQA,1,0
SFM,0,0
SDP,180,0
RBG,20,0
JVL,21,0
RBD,0,0
BKW,103,0
DCU,4,0
RQE,3,0
PTV,5,0
PTA,15,0
MZJ,18,0
UXK,246,0
TDF,1,0
PDT,52,0
HLM,6,0
ESD,18,0
VGT,1,0
ONP,27,0
GCY,0,0
MKK,80,0
MHV,2,0
MHE,1,0
MHM,43,0
DPG,6,0
SLE,108,0
MCK,10,0
IAB,993,0
MRC,5,0
MFD,61,0
LNS,3,0
HII,96,0
LGD,27,0
PWT,13,0
LMT,107,0
ENA,131,0
JHM,124,0
JBR,1,0
CEC,24,0
IYK,75,0
IPL,329,0
ZXF,4,0
HUL,1,0
HPB,0,0
JZM,3,0
TMA,0,0
GTU,0,0
GLR,0,0
GAM,8,0
FRD,8,0
FMN,82,0
NFL,2,0
EMK,62,0
FVQ,103,0
GDC,42,0
EEN,0,0
DTO,4,0
MEO,28,0
DCK,8,0
CSV,0,0
CVO,102,0
CON,0,0
MKN,1,0
CBM,1,0
CDB,363,0
CNO,93,0
CHD,1,0
FWH,4,0
CZF,9,0
EHM,55,0
LUR,20,0
LGC,0,0
BWD,147,0
BOK,0,0
BVU,12,0
JZT,7,0
ADM,0,0
ANB,2,0
ANI,57,0
A20,1687,0
ARA,10,0
RYE,0,0
NV4,0,0
